First.Name.s,Surname,birth,death,occupation_s,Inventions.Accomplishment,links,links_corrected,order,image
C. J.,Walker,1867,1919,Inventor,"Created black cosmetic products - an African American entrepreneur, philanthropist, and political and social activist. She is recorded as the first black female self-made millionaire in America in the Guinness Book of World Records.",https://en.wikipedia.org/wiki/Madam_C._J._Walker,https://en.wikipedia.org/wiki/Madam_C._J._Walker,109,//upload.wikimedia.org/wikipedia/commons/thumb/3/36/Madam_CJ_Walker_Manufacturing_Company%2C_Indianapolis%2C_Indiana_%281911%29.jpg/220px-Madam_CJ_Walker_Manufacturing_Company%2C_Indianapolis%2C_Indiana_%281911%29.jpg
Warren M.,Washington,1936,NA,Atmospheric scientist,Washington is an internationally recognized expert in atmospheric sciences and climate research specializing in computer modeling of the Earth's climate. ,https://en.wikipedia.org/wiki/Warren_M._Washington,https://en.wikipedia.org/wiki/Warren_M._Washington,110,
James E.,West,1931,NA,Acoustician; inventor,Co-developed the foil electret microphone,https://en.wikipedia.org/wiki/James_Edward_Maceo_West,https://en.wikipedia.org/wiki/James_Edward_Maceo_West,111,//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/US_Patent_3118022_-_Gerhard_M._Sessler_James_E._West_-_Bell_labs_-_electroacustic_transducer_-_foil_electret_condenser_microphone_1962_1964_-_pages_1-3.png/280px-US_Patent_3118022_-_Gerhard_M._Sessler_James_E._West_-_Bell_labs_-_electroacustic_transducer_-_foil_electret_condenser_microphone_1962_1964_-_pages_1-3.png
"J. Ernest, Jr.",Wilkins,1923,2011,Mathematician; engineer; nuclear scientist,Entered University of Chicago at age 13; PhD at 19; worked on the Manhattan Project; wrote over 100 scientific papers; helped recruit minorities into the sciences,"https://en.wikipedia.org/wiki/J._Ernest_Wilkins,_Jr.","https://en.wikipedia.org/wiki/J._Ernest_Wilkins,_Jr.",112,//upload.wikimedia.org/wikipedia/commons/thumb/e/ed/J._Ernest_Wilkins_Jr._%28short_biographies_and_sketches-_U.S._Gov%27mt_-GPO%29_V2_-cropped-.jpg/250px-J._Ernest_Wilkins_Jr._%28short_biographies_and_sketches-_U.S._Gov%27mt_-GPO%29_V2_-cropped-.jpg
Daniel,Williams,1856,1931,Surgeon,The first black person on record to have successfully performed pericardium (the sac surrounding the heart) surgery to repair a wound.,https://en.wikipedia.org/wiki/Daniel_Hale_Williams,https://en.wikipedia.org/wiki/Daniel_Hale_Williams,113,//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Daniel_H._Williams.jpg/220px-Daniel_H._Williams.jpg
Scott W.,Williams,1943,NA,Mathematician,Known for studies in topology and innovations in the field of mathematics,https://en.wikipedia.org/wiki/Scott_W._Williams,https://en.wikipedia.org/wiki/Scott_W._Williams,114,
Walter E.,Williams,1936,NA,Economist; social scientist,"Williams was the John M. Olin Distinguished Professor of Economics at George Mason University, as well as a syndicated columnist and author. Known for his classical liberal and libertarian views, Williams's writings frequently appeared in Townhall, WND, and Jewish World Review.",https://en.wikipedia.org/wiki/Walter_E._Williams,https://en.wikipedia.org/wiki/Walter_E._Williams,115,
Granville,Woods,1856,1910,Inventor,Invented the synchronous multiplex railway telegraph,https://en.wikipedia.org/wiki/Granville_Woods,https://en.wikipedia.org/wiki/Granville_Woods,116,//upload.wikimedia.org/wikipedia/commons/thumb/d/da/1906_Woods_Queen_Victoria_Electric.jpg/220px-1906_Woods_Queen_Victoria_Electric.jpg
Jane C.,Wright,1919,2013,Cancer research and surgeon,Noted for her contributions to chemotherapy and for pioneering the use of the drug methotrexate to treat breast cancer and skin cancer,https://en.wikipedia.org/wiki/Jane_C._Wright,https://en.wikipedia.org/wiki/Jane_C._Wright,117,//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Fig_1.Clinical_Criteria.jpg/220px-Fig_1.Clinical_Criteria.jpg
Louis T.,Wright,1891,1952,Surgeon,Led team that first used Aureomycin as a treatment on humans,https://en.wikipedia.org/wiki/Louis_T._Wright,https://en.wikipedia.org/wiki/Louis_T._Wright,118,//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Louis-T-Wright-colleagues-Harlem-Hospital-NY.jpg/220px-Louis-T-Wright-colleagues-Harlem-Hospital-NY.jpg
Roger Arliner,Young,1899,1964,Zoologist,"Roger Arliner Young (1899 – November 9, 1964) was an American scientist of zoology, biology, and marine biology. She was the first African American woman to receive a doctorate degree in zoology",https://en.wikipedia.org/wiki/Louis_T._Wright,https://en.wikipedia.org/wiki/Roger_Arliner_Young,119,//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Louis-T-Wright-colleagues-Harlem-Hospital-NY.jpg/220px-Louis-T-Wright-colleagues-Harlem-Hospital-NY.jpg
Miriam,Benjamin,1861,1947,School Teacher and Inventor,Inventor of the Gong and Signal Chair and second black woman to receive a patent in the United States,https://en.wikipedia.org/wiki/Miriam_Benjamin,https://en.wikipedia.org/wiki/Miriam_Benjamin,120,
