year,accomplishment,person,gender,category
1903,"First Broadway musical written by black people, and the first to star black actors",In Dahomey,Male Achievement,Arts & Entertainment
1903,First black woman to found and become president of a bank,"Maggie L. Walker, St. Luke Penny Savings Bank (since 1930 the Consolidated Bank & Trust Company), Richmond, Virginia",Female Achievement,Politics
1904,First Greek-letter fraternal organization established by black people,Sigma Pi Phi,Female Achievement,Social & Jobs
1904,"First black person to participate in the Olympic Games, and first to win a medal",George Poage (two bronze medals),Male Achievement,Education & Science
1906,First intercollegiate Greek-letter organization established by black people,"Alpha Phi Alpha, at Cornell University",Female Achievement,Social & Jobs
1907,First black Greek Orthodox priest and missionary in America,Very Rev. Fr. Robert Josias Morgan,Male Achievement,Social & Jobs
1908,First black heavyweight boxing champion,Jack Johnson,Male Achievement,Sports
1908,First black Olympic gold medal winner,John Taylor (track and field medley relay team),Male Achievement,Education & Science
1908,First intercollegiate Greek-letter sorority established by black people,Alpha Kappa Alpha at Howard University,Female Achievement,Social & Jobs
1910,First black woman millionaire,Madam C. J. Walker,Female Achievement,Social & Jobs
1911,First intercollegiate Greek-letter fraternity established by black people at a historically black college,"Omega Psi Phi, at Howard University",Female Achievement,Social & Jobs
1911,First black police officer in New York City,"Samuel J. Battle, following the 1898 incorporation of the five boroughs into the City of New York, and the hiring of three African-American officers in the Brooklyn Police Department. Battle was also the NYPD's first African-American sergeant (1926)",Male Achievement,Military
1911,First black attorney admitted to the American Bar Association,"Butler R. Wilson (June 1911), William Henry Lewis (August 1911), and William R. Morris (October 1911)",Male Achievement,Law
1914,First black military pilot,Eugene Jacques Bullard,Male Achievement,Military
1915,First black alderman of Chicago,Oscar Stanton De Priest,Male Achievement,Politics
1916,First black person to play in a Rose Bowl game,"Fritz Pollard, Brown University",Male Achievement,Sports
1916,First black person to become a colonel in the U.S. Army,Charles Young,Male Achievement,Military
1917,First black woman to win a major sports title,"Lucy Diggs Slowe, American Tennis Association",Female Achievement,Sports
1917,First black person to enter the University of Oregon,Mabel Byrd,Male Achievement,Education & Science
1919,First black special agent for the FBI,James Wormley Jones,Male Achievement,Law
1919,First black women appointed as police officers,"Cora I. Parchment at the New York Police Department (NYPD) and Georgia Ann Robinson, by the Los Angeles Police Department (LAPD)",Male Achievement,Military
1920,First black NFL football players,Fritz Pollard (Akron Pros) and Bobby Marshall (Rock Island Independents),Male Achievement,Sports
1920,First black bishops of the Methodist Episcopal Church,Robert Elijah Jones and Matthew Wesley Clair.,Male Achievement,Religion
1921,"First black woman to become an aviation pilot, first American to hold an international pilot license",Bessie Coleman,Female Achievement,Social & Jobs
1921,First black NFL football coach,"Fritz Pollard, co-head coach, Akron Pros, while continuing to play running back",Male Achievement,Sports
1921,First black woman to earn a Ph.D. in the U.S.,"Sadie Tanner Mossell, Ph.D. in Economics from the University of Pennsylvania",Female Achievement,Education & Science
1924,First black person to win individual Olympic gold medal,"DeHart Hubbard (long jump, 1924 Summer Olympics).",Male Achievement,Education & Science
1925,First black Foreign Service Officer,Clifton R. Wharton Sr.,Male Achievement,Military
1927,First black person to become an officer in the New York Fire Department in New York City,Wesley Augustus Williams.,Male Achievement,Military
1927,First black person to star in an international motion picture,Josephine Baker in La Sirène des tropiques.,Male Achievement,Arts & Entertainment
1928,First post-Reconstruction black person elected to U.S. House of Representatives,Oscar Stanton De Priest (Republican; Illinois),Male Achievement,Politics
1928,First black woman to serve in a state legislature,"Minnie Buckingham Harper, West Virginia",Female Achievement,Military
1929,First black sportscaster,"Sherman Jocko Maxwell (WNJR, Newark, New Jersey)",Male Achievement,Sports
1931,First black composer to have their symphony performed by a leading orchestra,"William Grant Still, Symphony No. 1, by Rochester Philharmonic Orchestra",Male Achievement,Arts & Entertainment
1931,First black woman to graduate from Yale Law School,Jane Matilda Bolin,Female Achievement,Law
1932,First black person on a presidential ticket in the 20th century,"James W. Ford (Communist Party USA, as vice-presidential candidate running with William Z. Foster)",Male Achievement,Politics
1934,First black person elected to the U.S. House of Representatives as a Democrat,Arthur W. Mitchell (Illinois),Male Achievement,Politics
1934,First trade union set up for black domestic workers by Dora Lee Jones,NA,Male Achievement,Politics
1935,First known interracial jazz group,"Benny Goodman Trio (Benny Goodman, Teddy Wilson, Gene Krupa)",Male Achievement,Social & Jobs
1936,First black person to conduct a major U.S. orchestra,William Grant Still (Los Angeles Philharmonic),Male Achievement,Arts & Entertainment
1936,First black women selected for the Olympic Games,Tidye Pickett and Louise Stokes. Stokes did not compete; Picket competed in the 80-meter hurdles,Male Achievement,Politics
1937,First black federal magistrate,William H. Hastie (later the first African-American governor of the United States Virgin Islands),Male Achievement,Politics
1938,First black woman federal agency head,Mary McLeod Bethune (National Youth Administration),Female Achievement,Politics
1938,First black woman elected to a state legislature,Crystal Bird Fauset (Pennsylvania General Assembly),Female Achievement,Politics
1939,First black person to star in her own television program,"Ethel Waters, The Ethel Waters Show, on NBC",Female Achievement,Arts & Entertainment
1940,First black person to win an Oscar,"Hattie McDaniel (Best Supporting Actress, Gone with the Wind, 1939)",Male Achievement,Arts & Entertainment
1940,First black person to be portrayed on a U.S. postage stamp,Booker T. Washington,Male Achievement,Social & Jobs
1940,First black flag officer,"BG Benjamin O. Davis Sr., U.S. Army",Male Achievement,Military
1941,First black person to give a White House Command Performance,Josh White,Male Achievement,Military
1942,First black person to be awarded the Navy Cross,Doris Miller,Male Achievement,Military
1942,First black member of the U.S. Marine Corps,Alfred Masters,Male Achievement,Military
1943,"Martin A. Martin, first black person to become a member of the Trial Bureau of the United States Department of Justice, was sworn in on May 31, 1943.[119]",NA,Male Achievement,Politics
1943,First black artists to have a #1 hit on the Billboard charts,"Mills Brothers (Paper Doll), topped Best Sellers in Stores chart on November 6 ",Male Achievement,Arts & Entertainment
1944,First black people commissioned as officers in the U.S. Navy,The Golden Thirteen,Male Achievement,Military
1944,First black person commissioned as a U.S. Navy officer from the Naval Reserve Officer Training Corps,Samuel Gravely.,Male Achievement,Military
